id_cliente,recencia,frequencia,valor_total,churn_real,churn_pred,churn_proba,segmento_risco,acerto_churn
C43986D19A238AFEC89E2102346E1AC0,9,12,1316.81,1,0,0.2766784341185313,Baixo risco,False
6E7D2ACBB465F0321C9F77DF50887195,1,1,75.14999999999999,0,0,0.460120035865895,Médio risco,False
FAEEF259B1C8F398E094A81AF46168F3,77,15,1895.2200000000003,0,0,0.33870469222160793,Baixo risco,False
D60CDAC5EA7B5AC0A2C440A0E7BBE8E4,3,66,3863.9400000000005,0,0,0.00895478326350882,Baixo risco,False
5C271D7C6638918F05E6982F083F7A2D,70,2,175.68,1,1,0.5837787465150743,Médio risco,True
66530B29026C234E8C064C40FB2DD957,210,11,975.64,1,1,0.6962468911289162,Médio risco,True
771683A1C4B90C7E72A9B62708F72CA2,415,1,47.879999999999995,1,1,0.9642579712457622,Alto risco,True
253B4FF585B75222BBC3C347D3B93146,14,6,665.03,1,0,0.38935447558714686,Baixo risco,False
5D2D10066B09313E56D423E3D4A50544,360,1,57.67000000000001,1,1,0.9445416312354608,Alto risco,True
C2DDE6583F5DD1279F55D378EB700B7E,16,7,448.39,0,0,0.3870297054355168,Baixo risco,False
DC46EBADA4AEA9B066E397487B77513A,384,1,244.85999999999999,1,1,0.9528135554349128,Alto risco,True
FA103CA0F5F570BC8F0FEA0DA59F135F,7,80,3461.08,0,0,0.004226448236326678,Baixo risco,False
F96A9FF376678A6C6BAE7EA9441FC335,288,2,435.76,1,1,0.8922446625597344,Alto risco,True
A352880363440BA97595C4542DDB51B2,1,65,3017.249999999999,0,0,0.010691239605990712,Baixo risco,False
595CD17DA554A5125F0B9921CE3EBD5A,35,3,76.95,0,1,0.5003428709866398,Médio risco,False
36E5AD77BA217B4FCA6E00E2043A3001,62,12,3588.3900000000012,0,0,0.2930275831119933,Baixo risco,False
8D46DEC7343E4A1F8F77BA1D37976FF1,201,1,132.34,1,1,0.8172720248887256,Alto risco,True
A65948225126557D4C999C6CE84D47CA,295,1,31.16,1,1,0.9086724543017068,Alto risco,True
E2090649C3FE8E8C81E3179D1B9E2A38,151,2,197.86,1,1,0.7329973746854556,Alto risco,True
96053DAB4AB75172D94C821EE3A004A7,5,8,2005.7200000000003,0,0,0.2972899328507255,Baixo risco,False
3A9074D6B22601847EC9A8E43ECA308F,110,8,759.8499999999999,0,1,0.5530871478926431,Médio risco,False
1B3AA492B2878AF78588C710F9131430,212,2,32.97,1,1,0.8241232031004729,Alto risco,True
C8AB5F86D9771D79EE0532624682751C,170,4,626.12,0,1,0.7267577168517814,Alto risco,False
BC36EA2256B8A0958CE6460CD46A8CA6,0,118,7499.279999999999,0,0,0.00020785906839616424,Baixo risco,False
4D1866C0ADA86ACC26043A21E57155AB,250,1,21.52,1,1,0.8725845158889661,Alto risco,True
46F98A515D191AEDE3A129F29ACF7AFD,355,1,37.6,0,1,0.9424911368482491,Alto risco,False
BA98587D5ED7209376486832F947625C,9,20,393.94,0,0,0.21389723063541602,Baixo risco,False
3494B882C0329CA6BC1F523EC79D13FB,4,30,2209.1,0,0,0.0960931442495077,Baixo risco,False
DFD29398B3890045825E6BBB9B1ADCB7,186,1,81.84,1,1,0.7991498273928669,Alto risco,True
915FEDF0566DC8BE3C1452D6A6F9F3FA,191,8,294.98,0,1,0.7235684974670106,Alto risco,False
BA4AD551037E6EE4A211D756A2133D15,239,3,1120.6000000000001,1,1,0.8228202396149956,Alto risco,True
41032DCEC498A0C7570515581C732DAE,344,1,194.29,1,1,0.9358344950717434,Alto risco,True
47EC060B7CDB0614DCBD6EBE1ACED4DF,47,1,17.08,0,1,0.5579325424409243,Médio risco,False
BB592FC20CF110560326E4388F68CB45,364,2,53.09,1,1,0.9431175426891867,Alto risco,True
44EC671CA85DC146BF69703EFE551F50,149,16,3477.04,1,0,0.40573790406912796,Médio risco,False
EFE808C473CBF3722D235C8C32AEA9B2,3,65,4768.72,0,0,0.008247083092311674,Baixo risco,False
3BD3A10CD31A5EA61183DD8D75DB5823,160,1,454.4,1,1,0.7511966144594521,Alto risco,True
6265227D950564B6C185E6870299F5D3,1,186,13231.989999999998,0,0,1.3362962779728129e-06,Baixo risco,False
5547F33523388271777FE903033832AF,182,3,690.7099999999999,0,1,0.7556364058619428,Alto risco,False
543114F93CAFE78C4913D3F425CC4541,30,56,2116.89,0,0,0.026746754726537515,Baixo risco,False
23FEF1014FF8ECCF766CA3C20B591B7F,0,36,6701.240000000001,0,0,0.03372722132311173,Baixo risco,False
339E58CF2EAB3AE2EAFB0A6820B561A1,1,1,47.72,1,0,0.4612044780314728,Médio risco,False
BD63CEAC57F2F80034EAA52CEAC5D1F9,112,5,837.2600000000002,1,1,0.5987586375500593,Médio risco,True
F9AA4C4B8A45323850ADBC4045F6F6EB,4,18,2197.92,0,0,0.18116691411150407,Baixo risco,False
755318833A8757A2CB9FCA1A5E7EE023,223,2,204.65999999999997,1,1,0.8332582663604725,Alto risco,True
52328ABFE05B59FABF8D66759426B5F1,1,62,6231.7,0,0,0.007719257452351108,Baixo risco,False
B32C8C97460B1D66919D0CE1525BA970,8,39,2417.79,0,0,0.057885860445532955,Baixo risco,False
9C575F2B00D1AEA9745C3B9CAB901567,69,5,403.07,0,1,0.5277203220075666,Médio risco,False
A681B962D60B03FD1C87DEF502AC09CC,7,35,3125.05,0,0,0.06496059626768332,Baixo risco,False
BCB401AA026A67D400ADD9EAB71A58EB,184,1,4.99,1,1,0.798436121478306,Alto risco,True
1C1655E489BA993DC34F47303DDC04F2,111,1,43.50000000000001,1,1,0.6817856544460928,Médio risco,True
DACB57BAFE22D9BC01182FE3FE4D414C,36,37,4876.68,0,0,0.055951557260560614,Baixo risco,False
8976CFBA811602A708F7FF0793685F92,0,15,1602.77,0,0,0.22023367111874698,Baixo risco,False
512B70E0F8DA725B47F851C08C52CDD0,2,19,896.6499999999999,0,0,0.20117007029070127,Baixo risco,False
1BF951464A105222A3DA2845A86CC76C,14,89,3147.04,0,0,0.0027259200413604083,Baixo risco,False
0FDEF7C89F2984DBCBEB4D3FFCFC1480,0,18,1363.8899999999999,0,0,0.19637834461939097,Baixo risco,False
66AF1C77B29C73FC31C22416B95370FB,174,1,87.37,1,1,0.7824656537605209,Alto risco,True
B6A47CF82D972385C857F027A1E61216,48,13,598.1,0,0,0.3583547439574666,Baixo risco,False
3C15B0268437FD02572AEB64D9322908,79,6,229.31,1,1,0.5401783327785088,Médio risco,True
A3F981542E47D45B3363F8450BB94BD7,185,1,72.58,1,1,0.7980462841885991,Alto risco,True
ACDD3F5AD84B3E523FAD4AE8966C679C,7,51,4277.33,1,0,0.02135142019737069,Baixo risco,False
07B642D68A3A5AF750CE56B7DB61B4E5,400,1,21.54,1,1,0.9598518637653246,Alto risco,True
01DD15F865507A0C7F0E6587A9794406,293,1,103.80999999999997,1,1,0.9063025750766729,Alto risco,True
216230A23005796CB208A3DBC6001582,31,41,1864.43,1,0,0.06712190483142572,Baixo risco,False
E3BEC97FC88EFEB89E8DE7CCE2DE42D6,19,66,5030.950000000001,0,0,0.008501981709232078,Baixo risco,False
E4DBCF7DEB55F7CF6C7AC628DFE4C984,183,4,440.78999999999996,1,1,0.7532600348476247,Alto risco,True
FDCF16662441850E09EDF577E4EFE141,6,41,3456.07,0,0,0.04338032859366237,Baixo risco,False
A6105FDB8687ACF46262B764D0D52F60,0,8,806.62,0,0,0.32935504378802255,Baixo risco,False
95C16EB7C210C0A708FD29A77438B284,82,7,317.0,1,1,0.5277664798802923,Médio risco,True
923F5B38C8026E01AFF4CD6C8190E623,12,45,3942.320000000001,0,0,0.03342390150965766,Baixo risco,False
318E5588246D9F3A90D0ACFB08755B6C,321,2,290.59000000000003,1,1,0.9177393995846675,Alto risco,True
CAA935881955852BCF9DF0A380901FA4,10,63,5660.82,0,0,0.008565881022146267,Baixo risco,False
BEFAC45B76C3C6F6E3C74BAA235ED95E,27,7,777.67,0,0,0.3963898729559376,Baixo risco,False
12152719EAA6DACD1589B8BD94BA23BB,11,40,4110.54,0,0,0.04331653666786954,Baixo risco,False
04BDAD5580967A7DC483AD8CB8FD9A6D,24,2,75.79999999999998,0,0,0.49270147021158717,Médio risco,False
